epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_class_0_acc,val_class_0_acc,train_class_1_acc,val_class_1_acc,train_class_2_acc,val_class_2_acc,train_class_3_acc,val_class_3_acc
1,0.9497426257044042,0.7938098394479908,63.74436255637443,73.09123572436802,64.8951368649637,76.0,0.048851978505129456,0.0,53.75428571428571,67.4,80.03428571428572,84.44
2,0.785883477186961,0.7300585703771623,74.8780845524878,77.55678172719107,75.30716040916624,78.88,34.09868099658036,70.64846416382252,65.18857142857144,67.44,88.90857142857142,87.16000000000001
3,0.724744022940695,0.7183466470632397,78.97737689289774,77.98023867573464,77.04440253728785,62.03999999999999,63.3610161211529,82.5938566552901,69.93142857142857,75.52,91.78285714285714,95.84
4,0.6794696525001303,0.6445876877815997,81.96568034319657,82.89490568458874,79.01022915595178,83.8,74.69467513434293,74.74402730375427,73.82285714285715,69.92,93.91428571428571,95.92
5,0.6386906114370854,0.6084812684137313,84.60932057346093,85.23033491595021,81.67323847076976,75.64,81.72936003908158,88.05460750853243,77.32,83.39999999999999,95.17142857142858,96.32
6,0.598059863201479,0.5699746713775103,87.27862721372787,88.07904529706147,84.31338933653352,81.64,88.47093307278945,92.83276450511946,81.02857142857142,84.84,96.35428571428571,97.2
7,0.5581784411164269,0.5358137639819599,90.0579327540058,89.79853714872321,87.85073432767587,93.32000000000001,91.84171958964338,86.3481228668942,84.96000000000001,80.16,97.15428571428572,96.32
8,0.5204715261984821,0.48926176790331233,92.31291020423129,93.16052867958425,90.25087147837019,89.0,94.1866145578896,95.90443686006826,88.65714285714286,92.4,97.81142857142856,97.76
9,0.4863021819211394,0.46345385127380245,94.41938913944193,94.52072372642115,92.82244699697125,91.56,96.28724963361016,94.19795221843003,91.62857142857142,93.0,98.58857142857143,99.03999999999999
10,0.45506480503892843,0.43050135916373766,96.32053679463205,96.89464904401386,95.24544259671981,97.92,97.80166096726917,99.31740614334471,94.66285714285713,93.47999999999999,98.88,99.0
11,0.43153377811905924,0.4275809726754173,97.66435668976644,96.66367252662647,97.03983084747699,92.04,97.8505129457743,99.31740614334471,96.61714285714285,98.28,99.31428571428572,99.36
12,0.41468161449342933,0.3932211973139497,98.54251457485425,98.60130886693186,98.10274872849877,98.48,99.07181240840254,99.65870307167235,97.87428571428572,97.68,99.58857142857143,99.52
13,0.4026289883420168,0.389424380464632,99.13650863491365,98.7296291543693,98.96565518029603,97.64,98.92525647288714,100.0,98.72571428571429,98.6,99.74285714285715,99.8
14,0.3941138662389127,0.3771060426704219,99.47567190994758,99.35839856281278,99.40568032458998,99.03999999999999,99.65803615046408,100.0,99.22285714285715,99.28,99.77714285714285,99.68
15,0.3890950348564497,0.37775879218930103,99.6480035199648,99.10175798793789,99.59997714155094,99.0,99.56033219345383,99.31740614334471,99.48,98.52,99.87428571428572,99.76
16,0.38578842795188656,0.3708779096114831,99.77816888497782,99.48671885025023,99.72569861134922,99.32,99.70688812896921,100.0,99.66285714285715,99.2,99.95428571428572,99.88
17,0.3818133664159115,0.3691135459258908,99.87533457998752,99.51238290773772,99.87999314246528,99.4,99.70688812896921,99.65870307167235,99.7942857142857,99.24,99.97142857142856,99.88
18,0.38071755598466256,0.3658368751162388,99.86433468998644,99.69203131015013,99.82284701982971,99.68,99.80459208597948,100.0,99.81714285714285,99.44,99.96000000000001,99.92
